ArbiBird #1: Background: Blue, Body: Stark - Gray, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Angry - Red, Eyewear: Visor (Jade), Headwear: Captain's Cap
ArbiBird #1106: Background: Blue, Body: Crescent - Blue, Beak: Long - Ruby, Outerwear: Gold Chain, Eyes: Relaxed (Enlightened), Eyewear: Monocle (Jade), Headwear: Durag
ArbiBird #1107: Background: Blue, Body: Enlightened - Legendary Crescent, Beak: Small - Robot, Outerwear: Diamond Necklace, Eyes: Side-eye - Yellow, Eyewear: Jobs Glasses, Headwear: Skully (Jade)
ArbiBird #1108: Background: Blue, Body: Enlightened - Legendary Sage, Beak: Small - Skeleton, Outerwear: Diamond Necklace, Eyes: Relaxed - Blue, Eyewear: 3D Glasses, Headwear: Tiny Crown
ArbiBird #1109: Background: Blue, Body: Sage - Red, Beak: Short - Orange, Outerwear: Gold Chain, Eyes: Relaxed - White, Eyewear: Monocle (Jade), Headwear: Mohawk (Green)
ArbiBird #1110: Background: Blue, Body: Tranquil - Black, Beak: Long - Golden, Outerwear: Hero's Tunic, Eyes: Heart - Epic, Eyewear: Visor (Jade), Headwear: Dancing Flame (Jade)
ArbiBird #1111: Background: Blue, Body: Stark - Blue, Beak: Short - Orange, Outerwear: Punk Jacket, Eyes: Open - Adorable, Eyewear: Monocle (Jade), Headwear: Tiny Crown (Jade)
ArbiBird #1112: Background: Blue, Body: Tranquil - Blue, Beak: Long - Gray, Outerwear: Jean Jacket, Eyes: Discerning - Green, Eyewear: Gazelles, Headwear: Flower
ArbiBird #1113: Background: Blue, Body: Professor - Red, Beak: Small - Skeleton, Outerwear: Bomber Jacket, Eyes: Relaxed - Red, Eyewear: Gazelles, Headwear: Headphones
ArbiBird #1114: Background: Blue, Body: Jade - Legendary Guardian, Beak: Short - Gray, Outerwear: Hoodie Down, Eyes: Open (Jade), Eyewear: Visor (Jade), Headwear: Durag
ArbiBird #1115: Background: Blue, Body: Guardian - Blue, Beak: Long - Orange, Outerwear: Hero's Tunic, Eyes: Angry - Golden, Eyewear: Jobs Glasses, Headwear: Halo (Jade)
ArbiBird #1116: Background: Blue, Body: Crescent - Brown, Beak: Small (Cosmic), Outerwear: Hero's Tunic, Eyes: Side-eye - Gray, Eyewear: Sunglasses, Headwear: Mohawk (Green)
ArbiBird #1117: Background: Blue, Body: Tranquil - Green, Beak: Short (Jade), Outerwear: Jean Jacket, Eyes: Relaxed - Gray, Eyewear: Half-moon Spectacles, Headwear: Queen's Crown
ArbiBird #1118: Background: Blue, Body: Tranquil - Black, Beak: Short - Orange, Outerwear: None, Eyes: Angry - Skeleton, Eyewear: Monocle (Jade), Headwear: Space Helmet
ArbiBird #1119: Background: Blue, Body: Cosmic - Legendary Professor, Beak: Short - Gray, Outerwear: Bomber Jacket, Eyes: Discerning - Red, Eyewear: Eyepatch, Headwear: Cowboy Hat
ArbiBird #1120: Background: Blue, Body: Emperor - Blue, Beak: Short - Robot, Outerwear: None, Eyes: Fire - Epic, Eyewear: Visor, Headwear: Unicorn Horn (Jade)
ArbiBird #1121: Background: Blue, Body: Tabby - Black, Beak: Small - Robot, Outerwear: Punk Jacket, Eyes: Relaxed - White, Eyewear: Black-rimmed Glasses, Headwear: Crescent Talisman
ArbiBird #1122: Background: Blue, Body: Cosmic - Legendary Sage, Beak: Short - Orange, Outerwear: Gold Chain, Eyes: Open - Yellow, Eyewear: Monocle (Jade), Headwear: Mohawk (Jade)
ArbiBird #1123: Background: Blue, Body: Golden - Legendary Sage, Beak: Short - Golden, Outerwear: None, Eyes: Relaxed - Green, Eyewear: Aviators, Headwear: Halo
ArbiBird #1124: Background: Blue, Body: Professor - Red, Beak: Long - Orange, Outerwear: Hoodie Down, Eyes: Open - Robot, Eyewear: Black-rimmed Glasses, Headwear: Durag
ArbiBird #1125: Background: Blue, Body: Professor - Green, Beak: Long - Golden, Outerwear: Hoodie Down, Eyes: Glitch 4, Eyewear: None, Headwear: Dancing Flame (Jade)
ArbiBird #1126: Background: Blue, Body: Crescent - Black, Beak: Short (Jade), Outerwear: None, Eyes: Angry - Skeleton, Eyewear: Visor, Headwear: Tiny Crown (Jade)
ArbiBird #1127: Background: Blue, Body: Tranquil - Green, Beak: Small (Jade), Outerwear: Hoodie, Eyes: Discerning - Yellow, Eyewear: Black-rimmed Glasses, Headwear: Diamond
ArbiBird #1128: Background: Blue, Body: Sage - Purple, Beak: Small (Enlightened), Outerwear: Hoodie, Eyes: Discerning - Red, Eyewear: Rose-Colored Glasses, Headwear: Tiny Crown (Jade)
ArbiBird #1129: Background: Blue, Body: Enlightened - Legendary Emperor, Beak: Short - Skeleton, Outerwear: Jean Jacket, Eyes: Angry - Blue, Eyewear: Rose-Colored Glasses, Headwear: Halo
ArbiBird #1130: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Long - Ruby, Outerwear: Bomber Jacket, Eyes: Glitch 5, Eyewear: Monocle (Jade), Headwear: Headphones
ArbiBird #1131: Background: Blue, Body: Crescent - Purple, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Discerning - Golden, Eyewear: Monocle, Headwear: Mohawk (Green)
ArbiBird #1132: Background: Blue, Body: Emperor - White, Beak: Small - Robot, Outerwear: Hoodie Down, Eyes: Open - Green, Eyewear: Rose-Colored Glasses, Headwear: Lincoln
ArbiBird #1133: Background: Blue, Body: Guardian - Red, Beak: Short - Skeleton, Outerwear: Hero's Tunic, Eyes: Side-eye - Green, Eyewear: Monocle, Headwear: Rubber Duck
ArbiBird #1134: Background: Blue, Body: Professor - Purple, Beak: Short - Gray, Outerwear: Gold Chain, Eyes: Side-eye - Red, Eyewear: Half-moon Spectacles, Headwear: Hero's Cap
ArbiBird #1135: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Small (Cosmic), Outerwear: Diamond Necklace, Eyes: Rainbow - Epic, Eyewear: Jobs Glasses, Headwear: Captain's Cap
ArbiBird #1136: Background: Blue, Body: Tranquil - Gray, Beak: Short - Golden, Outerwear: Hoodie Down, Eyes: Side-eye - Red, Eyewear: Monocle, Headwear: Mohawk (Jade)
ArbiBird #1137: Background: Blue, Body: Tabby - Brown, Beak: Long - Skeleton, Outerwear: Hoodie, Eyes: Glitch 5, Eyewear: Half-moon Spectacles, Headwear: Lincoln
ArbiBird #1138: Background: Blue, Body: Tranquil - Black, Beak: Small - Skeleton, Outerwear: Hoodie Down, Eyes: Side-eye - Red, Eyewear: Eyepatch, Headwear: Crescent Talisman
ArbiBird #1139: Background: Blue, Body: Enlightened - Legendary Emperor, Beak: Short - Golden, Outerwear: Hoodie Down, Eyes: Moon - Epic, Eyewear: Gazelles, Headwear: Skully
ArbiBird #1140: Background: Blue, Body: Golden - Legendary Crescent, Beak: Short - Robot, Outerwear: Jean Jacket, Eyes: Open - Diamond, Eyewear: Rose-Colored Glasses, Headwear: Unicorn Horn (Jade)
ArbiBird #1141: Background: Blue, Body: Tranquil - Blue, Beak: Short - Ruby, Outerwear: Jean Jacket, Eyes: Angry - Yellow, Eyewear: Visor, Headwear: Hero's Cap
ArbiBird #1142: Background: Blue, Body: Emperor - White, Beak: Long - Gray, Outerwear: Jean Jacket, Eyes: Closed (Enlightened), Eyewear: Big Tech, Headwear: Halo (Enlightened Variant)
ArbiBird #1143: Background: Blue, Body: Golden - Legendary Emperor, Beak: Short - Gray, Outerwear: Hoodie, Eyes: Fire - Epic, Eyewear: Jobs Glasses, Headwear: Wizard's Hat
ArbiBird #1144: Background: Blue, Body: Brave - Brown, Beak: Short - Skeleton, Outerwear: Diamond Necklace, Eyes: Discerning - Gray, Eyewear: Monocle, Headwear: Fire
ArbiBird #1145: Background: Blue, Body: Sage - Black, Beak: Short - Ruby, Outerwear: Hoodie, Eyes: Discerning - Skeleton, Eyewear: Monocle, Headwear: Backwards Hat
ArbiBird #1146: Background: Blue, Body: Enlightened - Legendary Crescent, Beak: Small - Robot, Outerwear: None, Eyes: Angry - Ruby, Eyewear: Visor (Jade), Headwear: Raincloud
ArbiBird #1147: Background: Blue, Body: Glitch - Legendary Brave, Beak: Small - Ruby, Outerwear: Hoodie Down, Eyes: Relaxed - Blue, Eyewear: None, Headwear: Gremplin
ArbiBird #1148: Background: Blue, Body: Emperor - Purple, Beak: Short - Robot, Outerwear: Jean Jacket, Eyes: Rainbow - Epic, Eyewear: Eyepatch, Headwear: Witch's Hat
ArbiBird #1149: Background: Blue, Body: Emperor - Gray, Beak: Short (Jade), Outerwear: Hoodie Down, Eyes: Relaxed (Jade), Eyewear: Jobs Glasses, Headwear: Mohawk (Pink)
ArbiBird #1150: Background: Blue, Body: Tabby - Purple, Beak: Long - Skeleton, Outerwear: Punk Jacket, Eyes: Open - Purple, Eyewear: Eyepatch, Headwear: Chromie
ArbiBird #1151: Background: Blue, Body: Emperor - Purple, Beak: Small (Enlightened), Outerwear: Gold Chain, Eyes: Side-eye - Red, Eyewear: Visor, Headwear: Hero's Cap
ArbiBird #1152: Background: Blue, Body: Stark - Black, Beak: Short (Jade), Outerwear: Jean Jacket, Eyes: Angry - Skeleton, Eyewear: Half-moon Spectacles, Headwear: Diamond (Jade)
ArbiBird #1153: Background: Blue, Body: Glitch - Legendary Brave, Beak: Long - Skeleton, Outerwear: Diamond Necklace, Eyes: Angry - Robot, Eyewear: Half-moon Spectacles, Headwear: Tiny Crown
ArbiBird #1154: Background: Blue, Body: Tranquil - Purple, Beak: Small (Cosmic), Outerwear: Hoodie, Eyes: Angry - Robot, Eyewear: Monocle, Headwear: Tiny Crown (Enlightened)
ArbiBird #1155: Background: Blue, Body: Stark - Black, Beak: Small (Enlightened), Outerwear: Jean Jacket, Eyes: Discerning - Green, Eyewear: Monocle, Headwear: Raincloud
ArbiBird #1156: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Short - Ruby, Outerwear: Jean Jacket, Eyes: Open (Cosmic), Eyewear: Eyepatch, Headwear: Diamond (Jade)
ArbiBird #1157: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Short - Orange, Outerwear: Punk Jacket, Eyes: Angry - Golden, Eyewear: Eyepatch, Headwear: Halo (Enlightened Variant)
ArbiBird #1158: Background: Blue, Body: Sage - Green, Beak: Long - Orange, Outerwear: None, Eyes: Open - Rainbow, Eyewear: Half-moon Spectacles, Headwear: Diamond (Jade)
ArbiBird #1159: Background: Blue, Body: Brave - Red, Beak: Long - Gray, Outerwear: None, Eyes: Open (Enlightened), Eyewear: None, Headwear: Beanie
ArbiBird #1160: Background: Blue, Body: Tabby - Blue, Beak: Small - Gray, Outerwear: None, Eyes: Fire - Ruby, Eyewear: Big Tech, Headwear: Cowboy Hat
ArbiBird #1161: Background: Blue, Body: Sage - Gray, Beak: Short - Gray, Outerwear: Diamond Necklace, Eyes: Glitch 5, Eyewear: None, Headwear: Headband
ArbiBird #1162: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Short - Orange, Outerwear: Diamond Necklace, Eyes: Angry - Gray, Eyewear: Monocle (Jade), Headwear: Tiny Crown (Jade)
ArbiBird #1163: Background: Blue, Body: Emperor - Green, Beak: Long - Gray, Outerwear: Hoodie, Eyes: Open - Diamond, Eyewear: Visor, Headwear: Gremplin
ArbiBird #1164: Background: Blue, Body: Crescent - Red, Beak: Long - Ruby, Outerwear: Hoodie, Eyes: Angry - Skeleton, Eyewear: Black-rimmed Glasses, Headwear: Wizard's Hat (Jade)
ArbiBird #1165: Background: Blue, Body: Guardian - Black, Beak: Small - Gray, Outerwear: Punk Jacket, Eyes: Discerning - Yellow, Eyewear: Jobs Glasses, Headwear: Tiny Crown
ArbiBird #1166: Background: Blue, Body: Glitch - Legendary Brave, Beak: Small - Skeleton, Outerwear: Hoodie Down, Eyes: Angry - Golden, Eyewear: Rose-Colored Glasses, Headwear: Dancing Flame (Jade)
ArbiBird #1167: Background: Blue, Body: Professor - Red, Beak: Short - Golden, Outerwear: Bomber Jacket, Eyes: Discerning - Yellow, Eyewear: Black-rimmed Glasses, Headwear: Headband
ArbiBird #1168: Background: Blue, Body: Jade - Legendary Sage, Beak: Small (Enlightened), Outerwear: None, Eyes: Side-eye - White, Eyewear: Visor (Jade), Headwear: Dancing Flame
ArbiBird #1169: Background: Blue, Body: Enlightened - Legendary Emperor, Beak: Short - Robot, Outerwear: Bomber Jacket, Eyes: Angry - Robot, Eyewear: Jobs Glasses, Headwear: Parliament Mask (Jade)
ArbiBird #1170: Background: Blue, Body: Glitch - Legendary Brave, Beak: Small - Skeleton, Outerwear: Punk Jacket, Eyes: Side-eye - Gray, Eyewear: Monocle, Headwear: Space Helmet
ArbiBird #1171: Background: Blue, Body: Enlightened - Legendary Guardian, Beak: Short - Gray, Outerwear: Jean Jacket, Eyes: Relaxed - Blue, Eyewear: Black-rimmed Glasses, Headwear: Unicorn Horn (Jade)
ArbiBird #1172: Background: Blue, Body: Jade - Legendary Professor, Beak: Long - Golden, Outerwear: Hero's Tunic, Eyes: Open - Blue, Eyewear: Rose-Colored Glasses, Headwear: Crescent Talisman
ArbiBird #1173: Background: Blue, Body: Glitch - Legendary Sage, Beak: Short - Golden, Outerwear: Bomber Jacket, Eyes: Relaxed - Golden, Eyewear: Eyepatch, Headwear: Unicorn Horn (Jade)
ArbiBird #1174: Background: Blue, Body: Tranquil - Black, Beak: Long - Skeleton, Outerwear: Diamond Necklace, Eyes: Angry - Golden, Eyewear: Monocle, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #1175: Background: Blue, Body: Stark - Black, Beak: Short - Gray, Outerwear: Punk Jacket, Eyes: Angry - Robot, Eyewear: Sunglasses, Headwear: Skully (Jade)
ArbiBird #1176: Background: Blue, Body: Golden - Legendary Professor, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Open - Skeleton, Eyewear: Jobs Glasses, Headwear: Halo
ArbiBird #1177: Background: Blue, Body: Tabby - White, Beak: Small (Cosmic), Outerwear: Bomber Jacket, Eyes: Open (Enlightened), Eyewear: Eyepatch, Headwear: Skully
ArbiBird #1178: Background: Blue, Body: Jade - Legendary Crescent, Beak: Short - Robot, Outerwear: None, Eyes: Moon - Epic, Eyewear: Monocle, Headwear: Lincoln
ArbiBird #1179: Background: Blue, Body: Brave - Green, Beak: Long - Skeleton, Outerwear: Hoodie Down, Eyes: Angry - Yellow, Eyewear: Monocle, Headwear: Cowboy Hat
ArbiBird #1180: Background: Blue, Body: Sage - Brown, Beak: Long - Skeleton, Outerwear: Punk Jacket, Eyes: Open - Skeleton, Eyewear: None, Headwear: Grail
ArbiBird #1181: Background: Blue, Body: Professor - Blue, Beak: Short (Jade), Outerwear: Hoodie Down, Eyes: Moon - Epic, Eyewear: Monocle (Jade), Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #1182: Background: Blue, Body: Stark - Gray, Beak: Long - Golden, Outerwear: Jean Jacket, Eyes: Discerning - Yellow, Eyewear: Monocle, Headwear: Aviator's Cap
ArbiBird #1183: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Long - Golden, Outerwear: Jean Jacket, Eyes: Adorable - Ruby, Eyewear: Black-rimmed Glasses, Headwear: Captain's Cap
ArbiBird #1184: Background: Blue, Body: Golden - Legendary Professor, Beak: Small (Jade), Outerwear: Hero's Tunic, Eyes: Discerning - Yellow, Eyewear: Aviators, Headwear: Skully (Jade)
ArbiBird #1185: Background: Blue, Body: Professor - Brown, Beak: Long - Robot, Outerwear: None, Eyes: Glitch 4, Eyewear: Gazelles, Headwear: Cowboy Hat
ArbiBird #1186: Background: Blue, Body: Enlightened - Legendary Emperor, Beak: Long - Orange, Outerwear: Hero's Tunic, Eyes: Moon - Epic, Eyewear: Aviators, Headwear: Diamond
ArbiBird #1187: Background: Blue, Body: Glitch - Legendary Emperor, Beak: Small (Enlightened), Outerwear: Jean Jacket, Eyes: Rainbow - Epic, Eyewear: Monocle, Headwear: Fire
ArbiBird #1188: Background: Blue, Body: Glitch - Legendary Emperor, Beak: Small - Robot, Outerwear: Hero's Tunic, Eyes: Angry - Gray, Eyewear: Aviators, Headwear: Queen's Crown
ArbiBird #1189: Background: Blue, Body: Golden - Legendary Emperor, Beak: Small (Cosmic), Outerwear: Hoodie, Eyes: Discerning - Purple, Eyewear: None, Headwear: Crescent Talisman (Jade)
ArbiBird #1190: Background: Blue, Body: Sage - Pink, Beak: Short - Golden, Outerwear: Hoodie, Eyes: Discerning - Skeleton, Eyewear: Aviators, Headwear: Moon Hat
ArbiBird #1191: Background: Blue, Body: Tranquil - Blue, Beak: Long - Orange, Outerwear: Diamond Necklace, Eyes: Open (Jade), Eyewear: Sunglasses, Headwear: Bow
ArbiBird #1192: Background: Blue, Body: Tabby - White, Beak: Long - Ruby, Outerwear: None, Eyes: Open (Jade), Eyewear: Monocle, Headwear: Forest Ranger
ArbiBird #1193: Background: Blue, Body: Jade - Legendary Brave, Beak: Short - Orange, Outerwear: Gold Chain, Eyes: Relaxed - Green, Eyewear: Sunglasses, Headwear: Tiny Crown
ArbiBird #1194: Background: Blue, Body: Guardian - Blue, Beak: Small - Robot, Outerwear: Bomber Jacket, Eyes: Relaxed - Gray, Eyewear: Rose-Colored Glasses, Headwear: Chromie
ArbiBird #1195: Background: Blue, Body: Stark - Green, Beak: Short - Orange, Outerwear: Jean Jacket, Eyes: Open - Green, Eyewear: Gazelles, Headwear: Skully (Jade)
ArbiBird #1196: Background: Blue, Body: Glitch - Legendary Emperor, Beak: Small - Gray, Outerwear: Jean Jacket, Eyes: Relaxed - Ruby, Eyewear: Big Tech, Headwear: Wizard's Hat
ArbiBird #1197: Background: Blue, Body: Enlightened - Legendary Guardian, Beak: Short - Skeleton, Outerwear: Hero's Tunic, Eyes: Angry - White, Eyewear: Visor, Headwear: Headphones
ArbiBird #1198: Background: Blue, Body: Tabby - Gray, Beak: Long - Gray, Outerwear: Hero's Tunic, Eyes: Angry - Robot, Eyewear: Visor (Jade), Headwear: Headphones
ArbiBird #1199: Background: Blue, Body: Tabby - Blue, Beak: Long - Skeleton, Outerwear: Hero's Tunic, Eyes: Glitch 5, Eyewear: Sunglasses, Headwear: Wizard's Hat (Jade)
ArbiBird #1200: Background: Blue, Body: Brave - Purple, Beak: Small - Gray, Outerwear: Diamond Necklace, Eyes: Open - Ruby, Eyewear: Gazelles, Headwear: Grail
ArbiBird #1201: Background: Blue, Body: Golden - Legendary Sage, Beak: Short - Golden, Outerwear: Jean Jacket, Eyes: Discerning - Blue, Eyewear: Monocle (Jade), Headwear: Headband
ArbiBird #1202: Background: Blue, Body: Stark - Green, Beak: Long - Gray, Outerwear: Hoodie, Eyes: Side-eye - Golden, Eyewear: Rose-Colored Glasses, Headwear: Hero's Cap
ArbiBird #1203: Background: Blue, Body: Golden - Legendary Crescent, Beak: Small - Robot, Outerwear: Hero's Tunic, Eyes: Open - Fire, Eyewear: None, Headwear: Dancing Flame (Jade)
ArbiBird #1204: Background: Blue, Body: Tranquil - Blue, Beak: Long - Ruby, Outerwear: Hoodie, Eyes: Glitch 2, Eyewear: Visor (Jade), Headwear: Space Helmet
ArbiBird #1205: Background: Blue, Body: Jade - Legendary Sage, Beak: Long - Orange, Outerwear: None, Eyes: Relaxed - Skeleton, Eyewear: Sunglasses, Headwear: Beanie
ArbiBird #1206: Background: Blue, Body: Professor - Purple, Beak: Small - Robot, Outerwear: Hoodie Down, Eyes: Relaxed (Enlightened), Eyewear: Black-rimmed Glasses, Headwear: Skully (Jade)
ArbiBird #1207: Background: Blue, Body: Crescent - Blue, Beak: Small - Golden, Outerwear: Gold Chain, Eyes: Open - Purple, Eyewear: Big Tech, Headwear: Crescent Talisman
ArbiBird #1208: Background: Blue, Body: Emperor - Red, Beak: Short - Robot, Outerwear: Hero's Tunic, Eyes: Open (Jade), Eyewear: Eyepatch, Headwear: Grail
ArbiBird #1209: Background: Blue, Body: Brave - Blue, Beak: Long - Orange, Outerwear: Diamond Necklace, Eyes: Relaxed - White, Eyewear: Sunglasses, Headwear: Mohawk (Jade)
ArbiBird #1210: Background: Blue, Body: Brave - Red, Beak: Small - Skeleton, Outerwear: None, Eyes: Angry - Blue, Eyewear: Sunglasses, Headwear: Karate Band
ArbiBird #1211: Background: Blue, Body: Sage - Pink, Beak: Small - Skeleton, Outerwear: Hoodie, Eyes: Angry - Red, Eyewear: Eyepatch, Headwear: Raincloud
ArbiBird #1212: Background: Blue, Body: Professor - Red, Beak: Long - Orange, Outerwear: Hero's Tunic, Eyes: Open - Diamond, Eyewear: Monocle, Headwear: Space Helmet
ArbiBird #1213: Background: Blue, Body: Guardian - Black, Beak: Short (Jade), Outerwear: Hoodie, Eyes: Relaxed - Gray, Eyewear: Big Tech, Headwear: Space Helmet
ArbiBird #1214: Background: Blue, Body: Jade - Legendary Crescent, Beak: Small - Ruby, Outerwear: None, Eyes: Side-eye - Purple, Eyewear: Gazelles, Headwear: Dancing Flame
ArbiBird #1215: Background: Blue, Body: Crescent - White, Beak: Small - Ruby, Outerwear: Diamond Necklace, Eyes: Glitch 2, Eyewear: Monocle, Headwear: Bandana
ArbiBird #1216: Background: Blue, Body: Crescent - Red, Beak: Small - Ruby, Outerwear: Punk Jacket, Eyes: Angry - Robot, Eyewear: Monocle (Jade), Headwear: Fire
ArbiBird #1217: Background: Blue, Body: Tabby - Brown, Beak: Long - Robot, Outerwear: Hero's Tunic, Eyes: Relaxed - Yellow, Eyewear: Eyepatch, Headwear: Raincloud
ArbiBird #1218: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Long - Robot, Outerwear: Hoodie Down, Eyes: Relaxed - Skeleton, Eyewear: None, Headwear: Fire
ArbiBird #1219: Background: Blue, Body: Brave - Pink, Beak: Small - Ruby, Outerwear: Punk Jacket, Eyes: Heart - Epic, Eyewear: Black-rimmed Glasses, Headwear: Aviator's Cap
ArbiBird #1220: Background: Blue, Body: Professor - Purple, Beak: Long - Orange, Outerwear: Diamond Necklace, Eyes: Heart - Epic, Eyewear: Monocle (Jade), Headwear: Mohawk (Pink)
ArbiBird #1221: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Short - Ruby, Outerwear: Hero's Tunic, Eyes: Side-eye - Golden, Eyewear: 3D Glasses, Headwear: Tiny Crown
ArbiBird #1222: Background: Blue, Body: Crescent - Pink, Beak: Long - Orange, Outerwear: Hoodie Down, Eyes: Open - Red, Eyewear: Black-rimmed Glasses, Headwear: Moon Hat
ArbiBird #1223: Background: Blue, Body: Tranquil - Green, Beak: Long - Gray, Outerwear: Hero's Tunic, Eyes: Fire - Ruby, Eyewear: None, Headwear: Pirate's Hat
ArbiBird #1224: Background: Blue, Body: Tranquil - Gray, Beak: Small - Gray, Outerwear: None, Eyes: Angry - White, Eyewear: Half-moon Spectacles, Headwear: Headphones
ArbiBird #1225: Background: Blue, Body: Brave - Pink, Beak: Short - Orange, Outerwear: Hero's Tunic, Eyes: Discerning - Yellow, Eyewear: Sunglasses, Headwear: None
ArbiBird #1226: Background: Blue, Body: Sage - Purple, Beak: Short - Robot, Outerwear: Hero's Tunic, Eyes: Angry - Purple, Eyewear: Gazelles, Headwear: Forest Ranger
ArbiBird #1227: Background: Blue, Body: Glitch - Legendary Crescent, Beak: Short - Gray, Outerwear: Jean Jacket, Eyes: Discerning - Purple, Eyewear: Visor (Jade), Headwear: Diamond (Jade)
ArbiBird #1228: Background: Blue, Body: Brave - White, Beak: Long - Skeleton, Outerwear: Punk Jacket, Eyes: Glitch 6, Eyewear: None, Headwear: Witch's Hat
ArbiBird #1229: Background: Blue, Body: Professor - Black, Beak: Small (Cosmic), Outerwear: Diamond Necklace, Eyes: Discerning - Purple, Eyewear: Black-rimmed Glasses, Headwear: Mohawk (Pink)
ArbiBird #1230: Background: Blue, Body: Guardian - Gray, Beak: Long - Ruby, Outerwear: Bomber Jacket, Eyes: Angry - Robot, Eyewear: Rose-Colored Glasses, Headwear: Halo (Jade)
ArbiBird #1231: Background: Blue, Body: Glitch - Legendary Emperor, Beak: Small - Skeleton, Outerwear: Diamond Necklace, Eyes: Open (Jade), Eyewear: Monocle (Jade), Headwear: Wizard's Hat (Jade)
ArbiBird #1232: Background: Blue, Body: Sage - Red, Beak: Small (Cosmic), Outerwear: Gold Chain, Eyes: Side-eye - White, Eyewear: Monocle, Headwear: Headphones
ArbiBird #1233: Background: Blue, Body: Jade - Legendary Emperor, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Side-eye - Golden, Eyewear: Monocle, Headwear: Grail
ArbiBird #1234: Background: Blue, Body: Stark - Gray, Beak: Small - Robot, Outerwear: Hero's Tunic, Eyes: Discerning - Purple, Eyewear: Gazelles, Headwear: Cowboy Hat
ArbiBird #1235: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Short - Skeleton, Outerwear: Hoodie, Eyes: Side-eye - White, Eyewear: Black-rimmed Glasses, Headwear: Beanie
ArbiBird #1236: Background: Blue, Body: Emperor - Green, Beak: Short - Gray, Outerwear: Punk Jacket, Eyes: Relaxed - Red, Eyewear: 3D Glasses, Headwear: Beanie
ArbiBird #1237: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Small (Enlightened), Outerwear: Punk Jacket, Eyes: Angry - Blue, Eyewear: Visor, Headwear: Halo
ArbiBird #1238: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Short - Gray, Outerwear: Bomber Jacket, Eyes: Angry - White, Eyewear: Eyepatch, Headwear: Bucket Hat
ArbiBird #1239: Background: Blue, Body: Enlightened - Legendary Crescent, Beak: Short - Orange, Outerwear: Diamond Necklace, Eyes: Relaxed - Ruby, Eyewear: Gazelles, Headwear: Witch's Hat
ArbiBird #1240: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Small - Skeleton, Outerwear: Gold Chain, Eyes: Open - Diamond, Eyewear: Sunglasses, Headwear: Mohawk (Green)
ArbiBird #1241: Background: Blue, Body: Crescent - Pink, Beak: Long - Gray, Outerwear: Bomber Jacket, Eyes: Relaxed - Gray, Eyewear: Sunglasses, Headwear: Lincoln
ArbiBird #1242: Background: Blue, Body: Cosmic - Legendary Guardian, Beak: Small (Jade), Outerwear: Hero's Tunic, Eyes: Open - Adorable, Eyewear: None, Headwear: Wizard's Hat (Jade)
ArbiBird #1243: Background: Blue, Body: Crescent - Brown, Beak: Long - Golden, Outerwear: Bomber Jacket, Eyes: Closed (Enlightened), Eyewear: Visor (Jade), Headwear: Tiny Crown (Jade)
ArbiBird #1244: Background: Blue, Body: Tabby - Pink, Beak: Long - Robot, Outerwear: Gold Chain, Eyes: Relaxed (Enlightened), Eyewear: Jobs Glasses, Headwear: Tiny Crown (Jade)
ArbiBird #1245: Background: Blue, Body: Crescent - Pink, Beak: Long - Golden, Outerwear: Gold Chain, Eyes: Side-eye - White, Eyewear: Eyepatch, Headwear: Bow
ArbiBird #1246: Background: Blue, Body: Professor - Gray, Beak: Small - Orange, Outerwear: Hoodie Down, Eyes: Angry - Gray, Eyewear: None, Headwear: Tiny Crown
ArbiBird #1247: Background: Blue, Body: Tranquil - Black, Beak: Small - Ruby, Outerwear: Gold Chain, Eyes: Open - Enchanted, Eyewear: Half-moon Spectacles, Headwear: Diamond (Jade)
ArbiBird #1248: Background: Blue, Body: Glitch - Legendary Emperor, Beak: Short - Robot, Outerwear: Hero's Tunic, Eyes: Side-eye - White, Eyewear: 3D Glasses, Headwear: Halo
ArbiBird #1249: Background: Blue, Body: Glitch - Legendary Brave, Beak: Short - Robot, Outerwear: Punk Jacket, Eyes: Open (Enlightened), Eyewear: Gazelles, Headwear: Skully (Jade)
ArbiBird #1250: Background: Blue, Body: Brave - Purple, Beak: Short - Golden, Outerwear: Hoodie, Eyes: Angry - Skeleton, Eyewear: Eyepatch, Headwear: Bow
